dt 0.003333
ticks 4.000000
num 0.542161
num 3.000000
8.606579 2.895591 11.911534
-5.900733 -13.775479 13.798308
-8.612970 -1.719874 10.937981
-15.128920 13.009574 -11.324848
-2.571455 -2.729078 -7.362076
-10.283093 6.419579 12.098019
6.264567 -0.088144 -3.533681
-16.752422 -12.588018 -9.161093
-10.645091 0.559063 -12.827686
0.157236 -5.976084 -2.557385
8.856138 3.822523 -6.514674
-7.249996 -0.047008 -11.667648
-5.642947 -1.407240 11.689400
-14.769665 13.124755 -11.522302
5.472013 13.275588 4.309592
-1.370283 3.361799 -0.969534
6.717064 10.596260 -10.529552
2.913351 -10.289884 -9.119957
-1.471752 9.351209 5.272176
-1.825522 -11.691252 8.198319
-10.614924 -9.944341 -5.535635
-9.186132 0.726350 -12.183221
-11.753022 10.385095 -7.789891
9.349771 -3.543572 -4.946019
-8.119337 -13.868721 -12.567157
-13.601402 -1.629374 -0.442993
-3.928945 -7.673631 -11.684103
-13.541068 5.755918 0.876103
-16.727741 -10.139051 -12.761868
-7.208859 8.248762 11.744247
-5.546963 -11.145514 7.260418
-12.784164 -13.715145 9.580491
-15.096010 -9.650904 -9.811043
0.042055 -13.259907 -1.874527
-2.239625 -8.071280 12.418880
-10.856256 -1.900872 -0.366205
-4.205928 -13.306528 -6.931519
-10.576531 -10.627199 -9.882345
-14.095034 4.974333 -7.043957
-15.523826 -11.902417 -5.206548
-10.507971 12.943756 -9.473726
-14.536560 -12.179399 1.262782
-16.182003 6.924181 -2.014390
-13.966142 6.287944 0.448288
-5.261753 12.156687 -2.118601
-16.749680 -12.684002 -0.155040
1.610709 -11.414269 -9.468242
5.392483 -6.146113 4.422031
-14.478971 -11.927098 0.404410
7.772889 -10.698502 5.672567
-2.066853 9.855811 -9.649240
-5.171254 -7.127893 -9.289986
-16.815498 0.893637 1.997746
-4.362245 1.724585 4.720953
-10.598471 -11.364906 10.773437
-14.742241 -8.680093 13.310161
1.199349 9.619965 -4.962473
-15.381221 -13.879691 7.446901
-17.034891 -10.662850 -12.652172
-7.318556 12.332200 10.693908
-12.304245 -4.799592 1.578158
8.603837 9.225058 -8.321918
8.145856 -12.275385 10.998315
-4.603577 2.580215 2.633984
-7.175951 4.573942 0.009504
9.958585 -11.197619 7.438674
4.871427 -10.369413 9.106056
-9.671537 2.229187 0.508621
3.516680 -4.486959 4.690786
0.146266 5.100483 -1.967769
4.205023 8.533973 -11.102715
8.376219 8.311838 3.209888
4.767215 1.104802 -9.273531
3.478286 1.038984 -6.706642
-5.184966 -11.905160 2.930163
-2.799075 11.015846 -6.256887
-14.591409 -2.761987 3.133101
-16.801786 0.748289 8.192835
-12.849983 2.761213 6.451409
0.593278 -6.417611 -13.291151
-5.906218 -11.027590 6.668059
9.577391 0.298535 -12.879791
-10.313260 1.546329 -9.583424
-12.754000 11.635631 11.349341
2.611686 -8.460700 -11.807511
-14.204730 -11.331997 3.377175
-12.652530 10.349443 -7.641802
-13.236661 2.588442 9.070404
-14.410410 -12.275385 13.781854
-16.406879 -11.946296 -1.907436
-16.406879 -0.356899 -12.789292
-16.047625 -0.483050 -1.128594
-12.775938 -13.344922 -12.468431
-4.776348 -5.548269 -4.869232
-12.512667 13.116528 -4.455129
7.844192 9.057772 8.598711
-6.490350 7.192937 9.138966
3.555073 -11.784493 12.004777
-15.074072 -4.245627 -11.788315
4.336658 -11.480088 9.448856
1.492786 -8.504579 8.916830
3.256152 -10.440716 -12.180479
7.698844 -5.485194 -12.709763
-6.901711 -6.551989 2.197941
-5.121891 1.047211 -13.167744
-3.385949 -3.332407 4.312335
-5.870567 2.651517 -3.286865
-8.651363 -1.072667 -8.634552
-8.248230 -0.068947 -8.426128
0.187402 13.028770 10.123487
-15.161829 -7.495375 0.094518
0.404052 -8.926909 -4.189116
3.234212 11.342193 11.486463
8.258294 0.432913 -0.599310
-11.270359 -11.118090 0.001277
7.303939 -6.406641 1.120177
5.216969 6.150823 2.304895
-4.729727 9.271679 -12.641202
-16.099731 9.647388 -8.083328
-8.928347 9.090680 -4.032799
-13.250374 -9.458936 -11.067062
-9.109345 9.200377 8.637104
1.180152 -13.545117 -6.462568
-10.784954 10.330247 -6.399493
8.998743 -8.414080 -10.074313
-4.724242 -9.637192 10.186563
-11.640583 -3.132211 -1.784028
-0.166368 -5.010758 5.121343
-12.751257 12.842288 9.001843
0.999153 7.077756 2.417334
-1.460782 -12.582534 3.506068
4.331173 -10.714956 -7.756982
-10.694454 12.930044 0.900785
7.729011 0.120279 -8.121722
1.586028 -0.466595 -7.052185
-5.434525 -9.209376 -2.121344
5.921767 -3.272074 -0.157783
2.581520 1.927523 3.144071
-14.267806 -8.274218 -8.310947
-1.186542 8.835637 -0.873550
-9.246466 -3.217226 6.445924
2.255174 0.136733 -10.142873
9.006971 -13.111817 -11.621029
1.638134 -3.823297 -3.402046
-7.488585 8.780788 -10.173039
-5.988490 -3.337892 -13.063532
-5.401616 11.498509 -4.998125
-12.416683 -10.991939 -9.023973
0.541172 -12.725139 8.157184
3.376817 -6.560216 -9.525832
2.822852 -3.883630 11.363054
-11.887400 -8.852864 -12.205160
0.319038 -1.829570 6.687256
-3.248829 -13.649328 6.676287
5.428135 3.016257 5.565613
5.197773 -10.487336 1.092753
7.273771 -1.832312 0.223411
-7.932854 -7.492633 12.558742
-16.464470 5.783342 7.932307
1.969964 5.986279 -10.148357
-16.903255 8.602532 -6.873929
5.112758 -5.400179 9.410463
1.070456 -10.832879 -4.400281
4.248901 -9.532980 -9.832982
-16.486408 -6.466974 -7.534848
-1.770674 -11.417012 -9.424363
2.471824 -9.033863 1.934671
-8.437456 11.150225 -8.099783
5.842237 -5.243862 -7.877648
-0.840999 -11.938068 -8.829262
-12.671726 -13.506723 -10.850413
-9.690735 -11.145514 8.450621
8.458489 -3.099303 -12.564415
0.214826 12.197823 -7.781664
-16.719513 -11.652859 2.258275
-1.340117 7.993719 -0.333297
-4.173019 4.785107 5.683537
9.728223 2.388247 -3.251214
5.389740 -8.063052 10.271577
8.184250 -7.539253 -10.104480
1.638134 4.519094 10.726817
-15.049391 -10.448943 6.731134
-5.928157 9.266194 8.856497
-11.868203 0.597457 -6.122510
6.220689 -3.538087 3.045344
-3.147360 -12.371368 -12.287433
2.545869 3.583935 6.816149
-8.229033 -9.343754 10.224957
5.195030 -3.228195 -8.453553
-11.089360 0.553579 3.541719
-0.196534 -5.180787 7.825353
-4.853135 6.880303 10.817316
-10.406502 -0.461111 -9.067851
8.993258 8.542199 -5.829073
-10.974179 -10.997424 11.335630
5.644784 -12.305551 -7.866679
-3.394176 -10.547669 12.114472
6.851441 -6.853652 6.753074
-13.532842 13.366087 -7.704877
-9.219041 -12.492035 -6.325448
-1.213966 -7.703797 -0.097450
-15.257813 7.437011 12.863149
-6.372427 3.125953 -10.137388
9.385423 -6.982546 1.018708
2.674762 -9.966280 8.195578
5.060653 -1.571784 -0.538977
-12.589456 1.815084 -3.130548
-6.095444 -7.901250 8.203805
1.001896 5.827219 9.585976
-13.549296 10.042295 1.652204
-3.802794 0.550836 -12.652172
-15.466236 -9.892235 1.753672
-16.302670 -9.135332 4.249259
9.514316 2.846228 13.120934
-15.611583 11.778235 6.799694
-8.673303 -11.326512 -3.706453
0.749595 -13.684979 -7.488227
-3.037664 -9.851099 -5.011837
0.231281 -5.496163 4.773058
-13.697386 -3.502436 -12.111918
-2.653728 8.608018 13.194980
-15.359282 10.705956 11.722309
-14.506394 -8.532002 -4.937792
7.989539 -0.993137 -1.071003
8.864367 8.706744 -1.071003
-8.670561 3.430360 -6.942489
-4.573410 -0.411747 4.221836
-2.297215 0.254657 7.693718
-9.043528 2.462291 12.213199
6.368779 -9.250513 6.552878
8.178765 -5.197241 -11.818481
-3.545009 -8.553943 -7.043957
0.617959 1.573753 3.719975
2.839306 12.118292 12.780877
-14.341850 -6.181764 8.025548
-2.642758 -4.799592 11.206737
-7.488585 -9.091454 6.747588
-4.118171 2.026249 7.169918
-1.792613 -12.527686 -3.769528
-12.647045 13.020543 5.724672
-7.606508 1.354360 13.666673
-9.805916 -1.324968 -0.569143
-16.719513 10.420746 -3.237502
2.342931 -12.897909 11.395963
-4.556955 1.705388 -7.968147
-14.832741 7.678342 4.616741
4.339401 11.446404 -0.977761
1.317272 -4.980591 12.309182
-8.091913 -1.135742 -11.245319
8.293945 7.842886 -12.984002
-12.153412 0.408231 -8.793611
6.187780 8.769819 -11.308395
-0.062157 2.242899 1.611067
-14.136169 -11.721418 -10.836700
-2.193004 1.236437 0.689620
7.177788 7.971779 5.505280
7.498649 -3.400967 -9.972844
-11.824325 -9.571374 7.888429
-4.716015 -2.975894 9.514673
2.776231 11.583525 13.872353
-12.707377 12.046989 -3.177169
-10.433927 0.413716 10.844739
-0.558532 10.544154 -11.876072
1.059486 -6.058356 7.093132
-15.935186 -9.642676 10.702134
-2.648243 -11.962749 5.996170
-11.465070 13.042483 10.046700
-4.205928 -7.081272 1.213419
-16.302670 7.132604 12.468242
6.796594 -7.311634 -9.023973
-11.292298 -11.433467 -1.254744
-12.948709 7.239558 10.951694
-6.498577 -11.726903 14.042382
-5.034133 3.978840 8.184608
-12.671726 9.987447 -11.703300
-9.753810 -12.231505 -1.427515
5.129213 3.057393 -8.875883
-0.095065 -5.232893 3.489614
-6.216110 1.661510 8.587741
-15.748702 -3.379028 -7.726816
-3.514842 13.196057 12.199487
-7.351465 -1.346907 12.654726
-1.150891 11.095377 13.921717
-0.108777 0.948485 7.304296
-11.624129 4.502639 4.424773
6.947426 12.408988 5.082950
3.236955 -7.536511 7.348175
-8.061747 3.082074 -3.174427
-16.371227 -8.112415 -8.859428
-6.243534 -12.843061 -9.229652
-2.823757 4.859151 8.807134
-4.162049 -3.310467 0.730756
8.151340 -9.409573 6.509000
7.188758 7.332799 -8.612612
5.603648 -3.406451 -2.894701
6.856926 -12.708684 13.957368
-2.278018 3.907538 4.375410
-0.108777 2.267581 5.124086
-6.142065 5.755918 -1.460424
-5.766356 2.695396 8.711149
-4.002990 -8.041113 8.968935
-10.176140 -5.556497 11.579703
-6.446471 8.226823 13.913488
-1.400449 -12.582534 -9.141895
-10.661546 -10.928864 13.584400
0.033828 5.659934 3.890005
7.745465 10.637396 -9.460014
-15.268783 -7.344543 10.910558
-0.298003 8.676578 3.171494
9.434785 -6.025447 10.326425
9.042623 -1.846024 -12.616521
1.276136 -3.562769 -3.591271
-4.277230 -8.619760 4.814194
-3.394176 -10.586063 8.609680
-1.841976 -10.882243 2.913709
-1.981839 0.520670 11.757960
6.958395 -10.429747 0.725271
7.591890 1.809599 1.978549
-12.715606 -13.811131 7.079419
